,League of Legends,date,Fortnite,Grand Theft Auto V,Counter-Strike: Global Offensive,Dota 2
0,127021,2016-01-01,0.0,5402,64378,60815
1,134035,2016-02-01,0.0,4627,64652,59243
2,127206,2016-03-01,0.0,3587,96854,57288
3,122933,2016-04-01,0.0,3300,99754,59375
4,108585,2016-05-01,0.0,4122,60407,63009
5,113141,2016-06-01,0.0,6063,50260,78392
6,104807,2016-07-01,0.0,5883,71269,43754
7,109939,2016-08-01,0.0,3874,35333,70648
8,112746,2016-09-01,0.0,2071,42783,34500
9,140383,2016-10-01,0.0,3042,47707,45254
10,106718,2016-11-01,0.0,2697,45798,46415
11,109487,2016-12-01,0.0,3956,41152,60544
12,133690,2017-01-01,0.0,5778,97411,52538
13,148160,2017-02-01,0.0,3380,60328,47861
14,122254,2017-03-01,0.0,4142,49624,51657
15,115233,2017-04-01,0.0,21458,50861,68206
16,118343,2017-05-01,0.0,26755,31446,46230
17,117478,2017-06-01,0.0,19372,30360,57661
18,114044,2017-07-01,5100.0,20900,91707,32810
19,96978,2017-08-01,1853.0,14414,27138,78965
20,103507,2017-09-01,6541.0,12373,37956,40398
21,127429,2017-10-01,21743.0,10156,38207,42562
22,115323,2017-11-01,32532.0,13768,35748,55117
23,92539,2017-12-01,43242.0,14500,25068,43267
24,119818,2018-01-01,61825.0,17411,93678,41617
25,120888,2018-02-01,97904.0,21800,55866,49147
26,119542,2018-03-01,159342.0,14045,37790,53984
27,103286,2018-04-01,178935.0,13714,31885,55830
28,110482,2018-05-01,194619.0,15718,35571,52576
29,100822,2018-06-01,176439.0,16945,30455,66896
30,101996,2018-07-01,204692.0,21755,36019,38690
31,109488,2018-08-01,176899.0,20556,29203,93911
32,106472,2018-09-01,147879.0,18300,98142,41324
33,146960,2018-10-01,150908.0,16020,32576,47456
34,114913,2018-11-01,149921.0,13389,36935,62083
35,97005,2018-12-01,159008.0,12616,34411,44369
36,133211,2019-01-01,170259.0,16343,41424,62600
37,141566,2019-02-01,125283.0,19100,70426,74901
38,146004,2019-03-01,136292.0,82794,47660,67743
39,128550,2019-04-01,139698.0,115515,42911,41027
40,138416,2019-05-01,144317.0,100570,39921,62867
41,124000,2019-06-01,128998.0,83216,42086,59706
42,91804,2019-07-01,121815.0,84409,54777,55148
43,115874,2019-08-01,119856.0,87103,62063,95404
44,107898,2019-09-01,84063.0,54922,63988,35959
45,169123,2019-10-01,106445.0,49646,60249,40421
46,132735,2019-11-01,81436.0,46104,49522,48360
47,105759,2019-12-01,86444.0,50966,54455,46110
48,134129,2020-01-01,72317.0,57398,45616,59253
49,175015,2020-02-01,79820.0,62479,71649,50318
50,166352,2020-03-01,89164.0,75604,89902,56324
51,188956,2020-04-01,135884.0,105346,120546,75767
52,171868,2020-05-01,165332.0,134656,103346,68672
53,199291,2020-06-01,155400.0,139823,105704,57269
54,181861,2020-07-01,141730.0,126689,56396,48326
55,191859,2020-08-01,132993.0,112140,64930,51483
56,187772,2020-09-01,108239.0,81989,74580,53000
57,230973,2020-10-01,115154.0,75145,78816,45119
58,168407,2020-11-01,115388.0,71923,84442,56961
59,129761,2020-12-01,146288.0,83054,81772,57714
60,229854,2021-01-01,136348.0,99677,81964,53224
61,223876,2021-02-01,160455.0,205223,100713,57984
62,201596,2021-03-01,157931.0,248422,97409,53806
63,218350,2021-04-01,130893.0,333016,97458,69242
64,234202,2021-05-01,123632.0,341075,101844,65629
65,205277,2021-06-01,98473.0,237277,76958,86670
66,180839,2021-07-01,93308.0,191842,78948,57253
67,185912,2021-08-01,104806.0,194561,67055,57492
68,149383,2021-09-01,83764.0,201009,85582,48410
69,280719,2021-10-01,79112.0,184299,94455,132995
